Month,Year,tmp,rainfall
July,2013,16.5,0
June,2013,17.3,0
March,2013,22.5,87.1
May,2013,18.4,2.9
November,2013,25,88.7
October,2013,24.3,14.8
September,2013,23.6,1
April,2014,20.7,29.8
August,2014,19.4,0
December,2014,23.3,217.2
February,2014,22.6,180.3
January,2014,22.4,222.6
July,2014,16.7,0
June,2014,17.6,0
March,2014,22.9,87
May,2014,19.3,3
November,2014,25.2,87
October,2014,24.9,15
September,2014,22.5,1
April,2015,21,29.7
August,2015,19.8,0
December,2015,25,52.2
February,2015,23.4,179.3
January,2015,22.7,222.6
July,2015,17.8,0
June,2015,17.5,0
March,2015,22.8,87.6
May,2015,19.5,3
November,2015,25.5,36.9
October,2015,26.5,5.4
September,2015,23.2,0.9
April,2016,20.4,0
August,2016,19.2,0
December,2016,23.9,71.6
February,2016,24.7,45.1
January,2016,23.9,88.5
July,2016,16.9,0
June,2016,17.4,0
March,2016,24,89.5
May,2016,18.4,3
November,2016,25.6,75
October,2016,26.7,0
September,2016,23.7,0.4
April,2017,21.3,32.1
August,2017,19.2,0
December,2017,23.7,217.9
February,2017,23,214.6
January,2017,22.6,246.7
July,2017,17.4,0
June,2017,17.7,0
March,2017,21.9,87.7
May,2017,19.2,3.1
November,2017,24,88
October,2017,25,15
September,2017,23,0.9
April,2018,21.4,30
August,2018,19.4,0
December,2018,23,215
February,2018,23,181
January,2018,23.3,224
July,2018,16.5,0
June,2018,17.6,0
March,2018,23.1,88
May,2018,19.8,17
November,2018,24,88
October,2018,24.2,13.5
September,2018,23.9,1
